id,date,store_nbr,family,sales,onpromotion
2596374,2017-01-01,1,AUTOMOTIVE,0.0,0
2596375,2017-01-01,1,BABY CARE,0.0,0
2596376,2017-01-01,1,BEAUTY,0.0,0
2596377,2017-01-01,1,BEVERAGES,0.0,0
2596378,2017-01-01,1,BOOKS,0.0,0
2596379,2017-01-01,1,BREAD/BAKERY,0.0,0
2596380,2017-01-01,1,CELEBRATION,0.0,0
2596381,2017-01-01,1,CLEANING,0.0,0
2596382,2017-01-01,1,DAIRY,0.0,0
2596383,2017-01-01,1,DELI,0.0,0
2596384,2017-01-01,1,EGGS,0.0,0
2596385,2017-01-01,1,FROZEN FOODS,0.0,0
2596386,2017-01-01,1,GROCERY I,0.0,0
2596387,2017-01-01,1,GROCERY II,0.0,0
2596388,2017-01-01,1,HARDWARE,0.0,0
2596389,2017-01-01,1,HOME AND KITCHEN I,0.0,0
2596390,2017-01-01,1,HOME AND KITCHEN II,0.0,0
2596391,2017-01-01,1,HOME APPLIANCES,0.0,0
2596392,2017-01-01,1,HOME CARE,0.0,0
2596393,2017-01-01,1,LADIESWEAR,0.0,0
2596394,2017-01-01,1,LAWN AND GARDEN,0.0,0
2596395,2017-01-01,1,LINGERIE,0.0,0
2596396,2017-01-01,1,"LIQUOR,WINE,BEER",0.0,0
2596397,2017-01-01,1,MAGAZINES,0.0,0
2596398,2017-01-01,1,MEATS,0.0,0
2596399,2017-01-01,1,PERSONAL CARE,0.0,0
2596400,2017-01-01,1,PET SUPPLIES,0.0,0
2596401,2017-01-01,1,PLAYERS AND ELECTRONICS,0.0,0
2596402,2017-01-01,1,POULTRY,0.0,0
2596403,2017-01-01,1,PREPARED FOODS,0.0,0
2596404,2017-01-01,1,PRODUCE,0.0,0
2596405,2017-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2596406,2017-01-01,1,SEAFOOD,0.0,0
2598156,2017-01-02,1,AUTOMOTIVE,5.0,0
2598157,2017-01-02,1,BABY CARE,0.0,0
2598158,2017-01-02,1,BEAUTY,0.0,0
2598159,2017-01-02,1,BEVERAGES,1434.0,31
2598160,2017-01-02,1,BOOKS,0.0,0
2598161,2017-01-02,1,BREAD/BAKERY,166.819,2
2598162,2017-01-02,1,CELEBRATION,0.0,0
2598163,2017-01-02,1,CLEANING,332.0,7
2598164,2017-01-02,1,DAIRY,376.0,11
2598165,2017-01-02,1,DELI,44.98,3
2598166,2017-01-02,1,EGGS,76.0,0
2598167,2017-01-02,1,FROZEN FOODS,72.15,1
2598168,2017-01-02,1,GROCERY I,1218.0,55
2598169,2017-01-02,1,GROCERY II,8.0,0
2598170,2017-01-02,1,HARDWARE,0.0,0
2598171,2017-01-02,1,HOME AND KITCHEN I,4.0,3
2598172,2017-01-02,1,HOME AND KITCHEN II,2.0,1
2598173,2017-01-02,1,HOME APPLIANCES,0.0,0
2598174,2017-01-02,1,HOME CARE,108.0,2
2598175,2017-01-02,1,LADIESWEAR,4.0,0
2598176,2017-01-02,1,LAWN AND GARDEN,4.0,0
2598177,2017-01-02,1,LINGERIE,4.0,0
2598178,2017-01-02,1,"LIQUOR,WINE,BEER",25.0,0
2598179,2017-01-02,1,MAGAZINES,1.0,0
2598180,2017-01-02,1,MEATS,116.724,0
2598181,2017-01-02,1,PERSONAL CARE,81.0,4
2598182,2017-01-02,1,PET SUPPLIES,5.0,0
2598183,2017-01-02,1,PLAYERS AND ELECTRONICS,4.0,0
2598184,2017-01-02,1,POULTRY,140.379,0
2598185,2017-01-02,1,PREPARED FOODS,59.363,0
2598186,2017-01-02,1,PRODUCE,1319.8829,8
2598187,2017-01-02,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2598188,2017-01-02,1,SEAFOOD,12.728,0
2599938,2017-01-03,1,AUTOMOTIVE,4.0,0
2599939,2017-01-03,1,BABY CARE,0.0,0
2599940,2017-01-03,1,BEAUTY,4.0,1
2599941,2017-01-03,1,BEVERAGES,3081.0,42
2599942,2017-01-03,1,BOOKS,2.0,0
2599943,2017-01-03,1,BREAD/BAKERY,519.348,2
2599944,2017-01-03,1,CELEBRATION,15.0,0
2599945,2017-01-03,1,CLEANING,952.0,18
2599946,2017-01-03,1,DAIRY,1045.0,14
2599947,2017-01-03,1,DELI,209.3,5
2599948,2017-01-03,1,EGGS,202.0,0
2599949,2017-01-03,1,FROZEN FOODS,124.176,1
2599950,2017-01-03,1,GROCERY I,3507.0,78
2599951,2017-01-03,1,GROCERY II,15.0,0
2599952,2017-01-03,1,HARDWARE,3.0,0
2599953,2017-01-03,1,HOME AND KITCHEN I,36.0,8
2599954,2017-01-03,1,HOME AND KITCHEN II,40.0,3
2599955,2017-01-03,1,HOME APPLIANCES,0.0,0
2599956,2017-01-03,1,HOME CARE,294.0,4
2599957,2017-01-03,1,LADIESWEAR,19.0,0
2599958,2017-01-03,1,LAWN AND GARDEN,16.0,0
2599959,2017-01-03,1,LINGERIE,13.0,0
2599960,2017-01-03,1,"LIQUOR,WINE,BEER",104.0,2
2599961,2017-01-03,1,MAGAZINES,1.0,0
2599962,2017-01-03,1,MEATS,344.583,0
2599963,2017-01-03,1,PERSONAL CARE,258.0,8
2599964,2017-01-03,1,PET SUPPLIES,10.0,1
2599965,2017-01-03,1,PLAYERS AND ELECTRONICS,9.0,0
2599966,2017-01-03,1,POULTRY,408.047,1
2599967,2017-01-03,1,PREPARED FOODS,108.369,2
2599968,2017-01-03,1,PRODUCE,3558.436,7
2599969,2017-01-03,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2599970,2017-01-03,1,SEAFOOD,30.082,0
2601720,2017-01-04,1,AUTOMOTIVE,1.0,0
2601721,2017-01-04,1,BABY CARE,0.0,0
2601722,2017-01-04,1,BEAUTY,4.0,1
2601723,2017-01-04,1,BEVERAGES,3039.0,54
2601724,2017-01-04,1,BOOKS,2.0,0
2601725,2017-01-04,1,BREAD/BAKERY,543.251,8
2601726,2017-01-04,1,CELEBRATION,17.0,1
2601727,2017-01-04,1,CLEANING,1055.0,15
2601728,2017-01-04,1,DAIRY,1029.0,32
2601729,2017-01-04,1,DELI,135.944,5
2601730,2017-01-04,1,EGGS,197.0,0
2601731,2017-01-04,1,FROZEN FOODS,115.0,2
2601732,2017-01-04,1,GROCERY I,3665.0,109
2601733,2017-01-04,1,GROCERY II,27.0,0
2601734,2017-01-04,1,HARDWARE,3.0,0
2601735,2017-01-04,1,HOME AND KITCHEN I,36.0,7
2601736,2017-01-04,1,HOME AND KITCHEN II,31.0,3
2601737,2017-01-04,1,HOME APPLIANCES,0.0,0
2601738,2017-01-04,1,HOME CARE,274.0,6
2601739,2017-01-04,1,LADIESWEAR,18.0,0
2601740,2017-01-04,1,LAWN AND GARDEN,12.0,4
2601741,2017-01-04,1,LINGERIE,7.0,0
2601742,2017-01-04,1,"LIQUOR,WINE,BEER",115.0,2
2601743,2017-01-04,1,MAGAZINES,6.0,0
2601744,2017-01-04,1,MEATS,326.203,0
2601745,2017-01-04,1,PERSONAL CARE,243.0,10
2601746,2017-01-04,1,PET SUPPLIES,6.0,1
2601747,2017-01-04,1,PLAYERS AND ELECTRONICS,8.0,0
2601748,2017-01-04,1,POULTRY,495.952,0
2601749,2017-01-04,1,PREPARED FOODS,74.846,2
2601750,2017-01-04,1,PRODUCE,4830.27,216
2601751,2017-01-04,1,SCHOOL AND OFFICE SUPPLIES,1.0,0
2601752,2017-01-04,1,SEAFOOD,39.352,1
2603502,2017-01-05,1,AUTOMOTIVE,2.0,0
2603503,2017-01-05,1,BABY CARE,0.0,0
2603504,2017-01-05,1,BEAUTY,3.0,2
2603505,2017-01-05,1,BEVERAGES,2617.0,32
2603506,2017-01-05,1,BOOKS,0.0,0
2603507,2017-01-05,1,BREAD/BAKERY,533.48,7
2603508,2017-01-05,1,CELEBRATION,40.0,0
2603509,2017-01-05,1,CLEANING,918.0,10
2603510,2017-01-05,1,DAIRY,853.0,24
2603511,2017-01-05,1,DELI,137.006,1
2603512,2017-01-05,1,EGGS,159.0,1
2603513,2017-01-05,1,FROZEN FOODS,157.514,2
2603514,2017-01-05,1,GROCERY I,3085.0,49
2603515,2017-01-05,1,GROCERY II,35.0,0
2603516,2017-01-05,1,HARDWARE,3.0,0
2603517,2017-01-05,1,HOME AND KITCHEN I,30.0,7
2603518,2017-01-05,1,HOME AND KITCHEN II,19.0,0
2603519,2017-01-05,1,HOME APPLIANCES,0.0,0
2603520,2017-01-05,1,HOME CARE,242.0,4
2603521,2017-01-05,1,LADIESWEAR,11.0,0
2603522,2017-01-05,1,LAWN AND GARDEN,9.0,0
2603523,2017-01-05,1,LINGERIE,5.0,0
2603524,2017-01-05,1,"LIQUOR,WINE,BEER",79.0,2
2603525,2017-01-05,1,MAGAZINES,6.0,0
2603526,2017-01-05,1,MEATS,274.205,0
2603527,2017-01-05,1,PERSONAL CARE,188.0,4
2603528,2017-01-05,1,PET SUPPLIES,8.0,0
2603529,2017-01-05,1,PLAYERS AND ELECTRONICS,11.0,0
2603530,2017-01-05,1,POULTRY,329.311,0
2603531,2017-01-05,1,PREPARED FOODS,112.270004,1
2603532,2017-01-05,1,PRODUCE,2896.172,5
2603533,2017-01-05,1,SCHOOL AND OFFICE SUPPLIES,1.0,0
2603534,2017-01-05,1,SEAFOOD,25.228,1
2605284,2017-01-06,1,AUTOMOTIVE,2.0,0
2605285,2017-01-06,1,BABY CARE,0.0,0
2605286,2017-01-06,1,BEAUTY,10.0,2
2605287,2017-01-06,1,BEVERAGES,2761.0,39
2605288,2017-01-06,1,BOOKS,0.0,0
2605289,2017-01-06,1,BREAD/BAKERY,442.91,7
2605290,2017-01-06,1,CELEBRATION,9.0,0
2605291,2017-01-06,1,CLEANING,799.0,12
2605292,2017-01-06,1,DAIRY,927.0,27
2605293,2017-01-06,1,DELI,162.622,48
2605294,2017-01-06,1,EGGS,169.0,27
2605295,2017-01-06,1,FROZEN FOODS,169.799,4
2605296,2017-01-06,1,GROCERY I,3012.0,62
2605297,2017-01-06,1,GROCERY II,17.0,0
2605298,2017-01-06,1,HARDWARE,3.0,0
2605299,2017-01-06,1,HOME AND KITCHEN I,38.0,6
2605300,2017-01-06,1,HOME AND KITCHEN II,25.0,0
2605301,2017-01-06,1,HOME APPLIANCES,0.0,0
2605302,2017-01-06,1,HOME CARE,240.0,8
2605303,2017-01-06,1,LADIESWEAR,12.0,0
2605304,2017-01-06,1,LAWN AND GARDEN,18.0,0
2605305,2017-01-06,1,LINGERIE,17.0,0
2605306,2017-01-06,1,"LIQUOR,WINE,BEER",114.0,6
2605307,2017-01-06,1,MAGAZINES,4.0,0
2605308,2017-01-06,1,MEATS,720.991,49
2605309,2017-01-06,1,PERSONAL CARE,178.0,6
2605310,2017-01-06,1,PET SUPPLIES,9.0,0
2605311,2017-01-06,1,PLAYERS AND ELECTRONICS,15.0,0
2605312,2017-01-06,1,POULTRY,545.505,39
2605313,2017-01-06,1,PREPARED FOODS,107.775,2
2605314,2017-01-06,1,PRODUCE,2782.71,7
2605315,2017-01-06,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2605316,2017-01-06,1,SEAFOOD,53.516,7
2607066,2017-01-07,1,AUTOMOTIVE,5.0,0
2607067,2017-01-07,1,BABY CARE,0.0,0
2607068,2017-01-07,1,BEAUTY,6.0,1
2607069,2017-01-07,1,BEVERAGES,2503.0,30
2607070,2017-01-07,1,BOOKS,0.0,0
2607071,2017-01-07,1,BREAD/BAKERY,428.22,7
2607072,2017-01-07,1,CELEBRATION,14.0,0
2607073,2017-01-07,1,CLEANING,767.0,9
2607074,2017-01-07,1,DAIRY,836.0,24
2607075,2017-01-07,1,DELI,136.477,0
2607076,2017-01-07,1,EGGS,153.0,1
