id,date,store_nbr,family,sales,onpromotion
2596374,2017-01-01,1,AUTOMOTIVE,0.0,0
2596375,2017-01-01,1,BABY CARE,0.0,0
2596376,2017-01-01,1,BEAUTY,0.0,0
2596377,2017-01-01,1,BEVERAGES,0.0,0
2596378,2017-01-01,1,BOOKS,0.0,0
2596379,2017-01-01,1,BREAD/BAKERY,0.0,0
2596380,2017-01-01,1,CELEBRATION,0.0,0
2596381,2017-01-01,1,CLEANING,0.0,0
2596382,2017-01-01,1,DAIRY,0.0,0
2596383,2017-01-01,1,DELI,0.0,0
2596384,2017-01-01,1,EGGS,0.0,0
2596385,2017-01-01,1,FROZEN FOODS,0.0,0
2596386,2017-01-01,1,GROCERY I,0.0,0
2596387,2017-01-01,1,GROCERY II,0.0,0
2596388,2017-01-01,1,HARDWARE,0.0,0
2596389,2017-01-01,1,HOME AND KITCHEN I,0.0,0
2596390,2017-01-01,1,HOME AND KITCHEN II,0.0,0
2596391,2017-01-01,1,HOME APPLIANCES,0.0,0
2596392,2017-01-01,1,HOME CARE,0.0,0
2596393,2017-01-01,1,LADIESWEAR,0.0,0
2596394,2017-01-01,1,LAWN AND GARDEN,0.0,0
2596395,2017-01-01,1,LINGERIE,0.0,0
2596396,2017-01-01,1,"LIQUOR,WINE,BEER",0.0,0
2596397,2017-01-01,1,MAGAZINES,0.0,0
2596398,2017-01-01,1,MEATS,0.0,0
2596399,2017-01-01,1,PERSONAL CARE,0.0,0
2596400,2017-01-01,1,PET SUPPLIES,0.0,0
2596401,2017-01-01,1,PLAYERS AND ELECTRONICS,0.0,0
2596402,2017-01-01,1,POULTRY,0.0,0
2596403,2017-01-01,1,PREPARED FOODS,0.0,0
2596404,2017-01-01,1,PRODUCE,0.0,0
2596405,2017-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2596406,2017-01-01,1,SEAFOOD,0.0,0
2596737,2017-01-01,2,AUTOMOTIVE,0.0,0
2596738,2017-01-01,2,BABY CARE,0.0,0
2596739,2017-01-01,2,BEAUTY,0.0,0
2596740,2017-01-01,2,BEVERAGES,0.0,0
2596741,2017-01-01,2,BOOKS,0.0,0
2596742,2017-01-01,2,BREAD/BAKERY,0.0,0
2596743,2017-01-01,2,CELEBRATION,0.0,0
2596744,2017-01-01,2,CLEANING,0.0,0
2596745,2017-01-01,2,DAIRY,0.0,0
2596746,2017-01-01,2,DELI,0.0,0
2596747,2017-01-01,2,EGGS,0.0,0
2596748,2017-01-01,2,FROZEN FOODS,0.0,0
2596749,2017-01-01,2,GROCERY I,0.0,0
2596750,2017-01-01,2,GROCERY II,0.0,0
2596751,2017-01-01,2,HARDWARE,0.0,0
2596752,2017-01-01,2,HOME AND KITCHEN I,0.0,0
2596753,2017-01-01,2,HOME AND KITCHEN II,0.0,0
2596754,2017-01-01,2,HOME APPLIANCES,0.0,0
2596755,2017-01-01,2,HOME CARE,0.0,0
2596756,2017-01-01,2,LADIESWEAR,0.0,0
2596757,2017-01-01,2,LAWN AND GARDEN,0.0,0
2596758,2017-01-01,2,LINGERIE,0.0,0
2596759,2017-01-01,2,"LIQUOR,WINE,BEER",0.0,0
2596760,2017-01-01,2,MAGAZINES,0.0,0
2596761,2017-01-01,2,MEATS,0.0,0
2596762,2017-01-01,2,PERSONAL CARE,0.0,0
2596763,2017-01-01,2,PET SUPPLIES,0.0,0
2596764,2017-01-01,2,PLAYERS AND ELECTRONICS,0.0,0
2596765,2017-01-01,2,POULTRY,0.0,0
2596766,2017-01-01,2,PREPARED FOODS,0.0,0
2596767,2017-01-01,2,PRODUCE,0.0,0
2596768,2017-01-01,2,SCHOOL AND OFFICE SUPPLIES,0.0,0
2596769,2017-01-01,2,SEAFOOD,0.0,0
2597100,2017-01-01,3,AUTOMOTIVE,0.0,0
2597101,2017-01-01,3,BABY CARE,0.0,0
2597102,2017-01-01,3,BEAUTY,0.0,0
2597103,2017-01-01,3,BEVERAGES,0.0,0
2597104,2017-01-01,3,BOOKS,0.0,0
2597105,2017-01-01,3,BREAD/BAKERY,0.0,0
2597106,2017-01-01,3,CELEBRATION,0.0,0
2597107,2017-01-01,3,CLEANING,0.0,0
2597108,2017-01-01,3,DAIRY,0.0,0
2597109,2017-01-01,3,DELI,0.0,0
2597110,2017-01-01,3,EGGS,0.0,0
2597111,2017-01-01,3,FROZEN FOODS,0.0,0
2597112,2017-01-01,3,GROCERY I,0.0,0
2597113,2017-01-01,3,GROCERY II,0.0,0
2597114,2017-01-01,3,HARDWARE,0.0,0
2597115,2017-01-01,3,HOME AND KITCHEN I,0.0,0
2597116,2017-01-01,3,HOME AND KITCHEN II,0.0,0
2597117,2017-01-01,3,HOME APPLIANCES,0.0,0
2597118,2017-01-01,3,HOME CARE,0.0,0
2597119,2017-01-01,3,LADIESWEAR,0.0,0
2597120,2017-01-01,3,LAWN AND GARDEN,0.0,0
2597121,2017-01-01,3,LINGERIE,0.0,0
2597122,2017-01-01,3,"LIQUOR,WINE,BEER",0.0,0
2597123,2017-01-01,3,MAGAZINES,0.0,0
2597124,2017-01-01,3,MEATS,0.0,0
2597125,2017-01-01,3,PERSONAL CARE,0.0,0
2597126,2017-01-01,3,PET SUPPLIES,0.0,0
2597127,2017-01-01,3,PLAYERS AND ELECTRONICS,0.0,0
2597128,2017-01-01,3,POULTRY,0.0,0
2597129,2017-01-01,3,PREPARED FOODS,0.0,0
2597130,2017-01-01,3,PRODUCE,0.0,0
2597131,2017-01-01,3,SCHOOL AND OFFICE SUPPLIES,0.0,0
2597132,2017-01-01,3,SEAFOOD,0.0,0
2598156,2017-01-02,1,AUTOMOTIVE,5.0,0
2598157,2017-01-02,1,BABY CARE,0.0,0
2598158,2017-01-02,1,BEAUTY,0.0,0
2598159,2017-01-02,1,BEVERAGES,1434.0,31
2598160,2017-01-02,1,BOOKS,0.0,0
2598161,2017-01-02,1,BREAD/BAKERY,166.819,2
2598162,2017-01-02,1,CELEBRATION,0.0,0
2598163,2017-01-02,1,CLEANING,332.0,7
2598164,2017-01-02,1,DAIRY,376.0,11
2598165,2017-01-02,1,DELI,44.98,3
2598166,2017-01-02,1,EGGS,76.0,0
2598167,2017-01-02,1,FROZEN FOODS,72.15,1
2598168,2017-01-02,1,GROCERY I,1218.0,55
2598169,2017-01-02,1,GROCERY II,8.0,0
2598170,2017-01-02,1,HARDWARE,0.0,0
2598171,2017-01-02,1,HOME AND KITCHEN I,4.0,3
2598172,2017-01-02,1,HOME AND KITCHEN II,2.0,1
2598173,2017-01-02,1,HOME APPLIANCES,0.0,0
2598174,2017-01-02,1,HOME CARE,108.0,2
2598175,2017-01-02,1,LADIESWEAR,4.0,0
2598176,2017-01-02,1,LAWN AND GARDEN,4.0,0
2598177,2017-01-02,1,LINGERIE,4.0,0
2598178,2017-01-02,1,"LIQUOR,WINE,BEER",25.0,0
2598179,2017-01-02,1,MAGAZINES,1.0,0
2598180,2017-01-02,1,MEATS,116.724,0
2598181,2017-01-02,1,PERSONAL CARE,81.0,4
2598182,2017-01-02,1,PET SUPPLIES,5.0,0
2598183,2017-01-02,1,PLAYERS AND ELECTRONICS,4.0,0
2598184,2017-01-02,1,POULTRY,140.379,0
2598185,2017-01-02,1,PREPARED FOODS,59.363,0
2598186,2017-01-02,1,PRODUCE,1319.8829,8
2598187,2017-01-02,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2598188,2017-01-02,1,SEAFOOD,12.728,0
2598519,2017-01-02,2,AUTOMOTIVE,5.0,0
2598520,2017-01-02,2,BABY CARE,1.0,0
2598521,2017-01-02,2,BEAUTY,11.0,0
2598522,2017-01-02,2,BEVERAGES,5474.0,47
2598523,2017-01-02,2,BOOKS,0.0,0
2598524,2017-01-02,2,BREAD/BAKERY,975.0,3
2598525,2017-01-02,2,CELEBRATION,22.0,0
2598526,2017-01-02,2,CLEANING,1606.0,20
2598527,2017-01-02,2,DAIRY,1416.0,16
2598528,2017-01-02,2,DELI,433.738,12
2598529,2017-01-02,2,EGGS,321.0,0
2598530,2017-01-02,2,FROZEN FOODS,221.19,2
2598531,2017-01-02,2,GROCERY I,6516.0,93
2598532,2017-01-02,2,GROCERY II,69.0,0
2598533,2017-01-02,2,HARDWARE,1.0,0
2598534,2017-01-02,2,HOME AND KITCHEN I,29.0,6
2598535,2017-01-02,2,HOME AND KITCHEN II,22.0,4
2598536,2017-01-02,2,HOME APPLIANCES,1.0,0
2598537,2017-01-02,2,HOME CARE,614.0,7
2598538,2017-01-02,2,LADIESWEAR,68.0,0
2598539,2017-01-02,2,LAWN AND GARDEN,14.0,0
2598540,2017-01-02,2,LINGERIE,18.0,0
2598541,2017-01-02,2,"LIQUOR,WINE,BEER",50.0,2
2598542,2017-01-02,2,MAGAZINES,9.0,0
2598543,2017-01-02,2,MEATS,558.976,3
2598544,2017-01-02,2,PERSONAL CARE,632.0,12
2598545,2017-01-02,2,PET SUPPLIES,12.0,1
2598546,2017-01-02,2,PLAYERS AND ELECTRONICS,16.0,0
2598547,2017-01-02,2,POULTRY,729.315,0
2598548,2017-01-02,2,PREPARED FOODS,186.231,1
2598549,2017-01-02,2,PRODUCE,3784.35,7
2598550,2017-01-02,2,SCHOOL AND OFFICE SUPPLIES,5.0,0
2598551,2017-01-02,2,SEAFOOD,46.284,1
2598882,2017-01-02,3,AUTOMOTIVE,9.0,0
2598883,2017-01-02,3,BABY CARE,0.0,0
2598884,2017-01-02,3,BEAUTY,27.0,0
2598885,2017-01-02,3,BEVERAGES,17332.0,45
2598886,2017-01-02,3,BOOKS,6.0,0
2598887,2017-01-02,3,BREAD/BAKERY,1992.722,3
2598888,2017-01-02,3,CELEBRATION,50.0,2
2598889,2017-01-02,3,CLEANING,3744.0,21
2598890,2017-01-02,3,DAIRY,3547.0,17
2598891,2017-01-02,3,DELI,611.638,11
2598892,2017-01-02,3,EGGS,853.0,0
2598893,2017-01-02,3,FROZEN FOODS,613.321,2
2598894,2017-01-02,3,GROCERY I,15054.0,98
2598895,2017-01-02,3,GROCERY II,75.0,0
2598896,2017-01-02,3,HARDWARE,6.0,0
2598897,2017-01-02,3,HOME AND KITCHEN I,113.0,9
2598898,2017-01-02,3,HOME AND KITCHEN II,79.0,5
2598899,2017-01-02,3,HOME APPLIANCES,3.0,0
2598900,2017-01-02,3,HOME CARE,1100.0,6
2598901,2017-01-02,3,LADIESWEAR,113.0,0
2598902,2017-01-02,3,LAWN AND GARDEN,71.0,0
2598903,2017-01-02,3,LINGERIE,35.0,0
2598904,2017-01-02,3,"LIQUOR,WINE,BEER",241.0,1
2598905,2017-01-02,3,MAGAZINES,33.0,0
2598906,2017-01-02,3,MEATS,1093.6119,0
2598907,2017-01-02,3,PERSONAL CARE,1293.0,14
2598908,2017-01-02,3,PET SUPPLIES,40.0,1
2598909,2017-01-02,3,PLAYERS AND ELECTRONICS,52.0,0
2598910,2017-01-02,3,POULTRY,1756.97,1
2598911,2017-01-02,3,PREPARED FOODS,543.841,2
2598912,2017-01-02,3,PRODUCE,11998.136,7
2598913,2017-01-02,3,SCHOOL AND OFFICE SUPPLIES,4.0,0
2598914,2017-01-02,3,SEAFOOD,135.384,1
2599938,2017-01-03,1,AUTOMOTIVE,4.0,0
2599939,2017-01-03,1,BABY CARE,0.0,0
2599940,2017-01-03,1,BEAUTY,4.0,1
2599941,2017-01-03,1,BEVERAGES,3081.0,42
2599942,2017-01-03,1,BOOKS,2.0,0
2599943,2017-01-03,1,BREAD/BAKERY,519.348,2
2599944,2017-01-03,1,CELEBRATION,15.0,0
2599945,2017-01-03,1,CLEANING,952.0,18
2599946,2017-01-03,1,DAIRY,1045.0,14
2599947,2017-01-03,1,DELI,209.3,5
2599948,2017-01-03,1,EGGS,202.0,0
